Project,Title,Agreement Date,Start Date Planned,Start Date Actual,End Date Planned,End Date Actual,Year,Sector,Focus Area,Zone,State,LGA,Funding Source,Funding Agencies,Implementer,Project Cost (USD),Committed (USD),Disbursed (USD),Autocoder ADM2 Geonames Matches,Autocoder ADM1 Geonames Matches,Autocoder Country Geonames Match
NGA/000595,Living Standards and Measurement Study (LSMS) – Integrated Surveys in Agriculture,21/10/2008,21/10/2008,,21/04/2015,, Unplanned; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Bank for Reconstruction and Development,"20,898,639","2,230,000","19,039,554",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000596,Indicators for Doing Business in Agriculture,14/10/2009,14/10/2009,,30/06/2013,, Unplanned; 2009; 2010; 2011; 2012; 2013,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Bank for Reconstruction and Development,"2,500,000","134,622","2,500,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000597,Indicators for Doing Business in Agriculture,14/10/2009,14/10/2009,,30/06/2013,, Unplanned; 2009; 2010; 2011; 2012; 2013,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Bank for Reconstruction and Development,"2,500,000","118,622","2,500,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000598,NURHI - Urban RH Initiative in Nigeria,31/08/2009,31/08/2009,,30/06/2015,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014; 2015,Health,Reproductive Health,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Johns Hopkins University,"44,500,000","32,348,059","32,803,016",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000599,SASHA: Sweetpotato Action for Security & Health in Africa,01/08/2009,01/08/2009,,31/07/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Agriculture,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Potato Center,"22,500,000","100,752","22,500,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000600,SASHA: Sweetpotato Action for Security & Health in Africa,01/08/2009,01/08/2009,,31/07/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Potato Center,"22,500,000","100,752","22,500,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000601,SASHA: Sweetpotato Action for Security & Health in Africa,01/08/2009,01/08/2009,,31/07/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Agriculture,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Potato Center,"22,500,000","90,000","22,500,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000602,SASHA: Sweetpotato Action for Security & Health in Africa,01/08/2009,01/08/2009,,31/07/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Potato Center,"22,500,000","90,000","22,500,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000603,CBSD: Cassava Brown Streak Disease resistance,05/11/2009,05/11/2009,,31/12/2016,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"3,921,371","449,007","3,173,164",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000604,CBSD: Cassava Brown Streak Disease resistance,05/11/2009,05/11/2009,,31/12/2016,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"3,921,371","439,525","3,173,164",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000605,CBSD: Cassava Brown Streak Disease resistance,05/11/2009,05/11/2009,,31/12/2016,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"3,921,371","3,921,371","3,173,164",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000606,Expenditure tracking and other analytics to support agricultural policy and finance planning in sub-Saharan Africa (tied to CAADP framework) (AgPER),12/11/2009,12/11/2009,,31/08/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Bank for Reconstruction and Development,"4,900,000","242,271","3,293,201",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000607,Expenditure tracking and other analytics to support agricultural policy and finance planning in sub-Saharan Africa (tied to CAADP framework) (AgPER),12/11/2009,12/11/2009,,31/08/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Bank for Reconstruction and Development,"4,900,000","230,448","3,293,201",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000608,Green Super Rice Phase 2 (Reinvestment 51587),31/10/2012,31/10/2012,,31/10/2015,, Unplanned; 2012; 2013; 2014; 2015,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Chinese Academy of Agricultural Sciences,"15,000,000","600,000","7,219,366",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000609,Reinvestment 51323 COMPRO / TSBF II: Tropical Soil Biology and Fertility Institute,05/04/2012,05/04/2012,,31/05/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"7,032,267","1,265,808","3,004,761",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000610,Reinvestment 51323 COMPRO / TSBF II: Tropical Soil Biology and Fertility Institute,05/04/2012,05/04/2012,,31/05/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"7,032,267","1,265,808","3,004,761",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000611,Reinvestment 51323 COMPRO / TSBF II: Tropical Soil Biology and Fertility Institute,05/04/2012,05/04/2012,,31/05/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"7,032,267","1,265,808","3,004,761",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000612,Reinvestment 51323 COMPRO / TSBF II: Tropical Soil Biology and Fertility Institute,05/04/2012,05/04/2012,,31/05/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"7,032,267","1,265,808","3,004,761",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000613,Reinvestment 51323 COMPRO / TSBF II: Tropical Soil Biology and Fertility Institute,05/04/2012,05/04/2012,,31/05/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"7,032,267","1,337,751","3,004,761",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000614,Reinvestment 51323 COMPRO / TSBF II: Tropical Soil Biology and Fertility Institute,05/04/2012,05/04/2012,,31/05/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"7,032,267","1,337,751","3,004,761",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000615,Reinvestment 51323 COMPRO / TSBF II: Tropical Soil Biology and Fertility Institute,05/04/2012,05/04/2012,,31/05/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"7,032,267","5,694,516","3,004,761",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000616,Reinvestment 51323 COMPRO / TSBF II: Tropical Soil Biology and Fertility Institute,05/04/2012,05/04/2012,,31/05/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"7,032,267","5,694,516","3,004,761",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000617,PASS Phase 2: Program for Africa's Seed Systems,15/11/2011,15/11/2011,,31/12/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Alliance for a Green Revolution in Africa,"56,001,491","3,733,432","19,043,290",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000618,PASS Phase 2: Program for Africa's Seed Systems,15/11/2011,15/11/2011,,31/12/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Alliance for a Green Revolution in Africa,"56,001,491","3,733,432","19,043,290",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000619,PASS Phase 2: Program for Africa's Seed Systems,15/11/2011,15/11/2011,,31/12/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Alliance for a Green Revolution in Africa,"56,001,491","1,035,737","19,043,290",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000620,PASS Phase 2: Program for Africa's Seed Systems,15/11/2011,15/11/2011,,31/12/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Alliance for a Green Revolution in Africa,"56,001,491","1,035,737","19,043,290",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000621,Global Crop Yield Gap and Water Productivity Atlas,14/11/2011,14/11/2011,,31/12/2013,, Unplanned; 2011; 2012; 2013,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"2,034,324",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000622,Global Crop Yield Gap and Water Productivity Atlas,14/11/2011,14/11/2011,,31/12/2013,, Unplanned; 2011; 2012; 2013,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"2,034,324",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000623,"Reinvestment of Grant 48598 construct a statistical framework and apply an info technology solution for countries and regions, to consolidate food and",31/05/2011,31/05/2011,,05/12/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Food & Agriculture Organisation (FAO),"6,569,304","173,893","6,273,884",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000624,Double Haploid Breeding for Cassava Enhancement,15/03/2010,15/03/2010,,31/03/2014,, Unplanned; 2010; 2011; 2012; 2013; 2014,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Center for Tropical Agriculture,"1,890,228","83,761","1,890,228",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000625,BioCassava Plus II: Nutrient Dense Cassava Products for Improved African Livelihoods,18/11/2010,18/11/2010,,18/11/2014,, Unplanned; 2010; 2011; 2012; 2013; 2014,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"8,257,560",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000626,BioCassava Plus II: Nutrient Dense Cassava Products for Improved African Livelihoods,18/11/2010,18/11/2010,,18/11/2014,, Unplanned; 2010; 2011; 2012; 2013; 2014,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"8,257,560",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000627,BioCassava Plus II: Nutrient Dense Cassava Products for Improved African Livelihoods,18/11/2010,18/11/2010,,18/11/2014,, Unplanned; 2010; 2011; 2012; 2013; 2014,  Unspecified,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"8,257,560",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000628,BioCassava Plus II: Nutrient Dense Cassava Products for Improved African Livelihoods,18/11/2010,18/11/2010,,18/11/2014,, Unplanned; 2010; 2011; 2012; 2013; 2014,  Unspecified,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"8,257,560",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000629,N2 Africa: Putting Nitrogen Fixation to Work for Smallholder Farmers in Africa.,28/09/2009,28/09/2009,,28/02/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Wageningen University,"21,869,483","2,400,619","21,869,483",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000630,N2 Africa: Putting Nitrogen Fixation to Work for Smallholder Farmers in Africa.,28/09/2009,28/09/2009,,28/02/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Wageningen University,"21,869,483","2,280,588","21,869,483",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000631,"Assessing Market Policies and Investment Flows, Monitoring African Food and Agricultural Policies (MAFAP)",03/11/2009,03/11/2009,,30/04/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Food & Agriculture Organisation (FAO),"6,553,663","135,000","6,553,663",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000632,"Assessing Market Policies and Investment Flows, Monitoring African Food and Agricultural Policies (MAFAP)",03/11/2009,03/11/2009,,30/04/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Food & Agriculture Organisation (FAO),"6,553,663","100,000","6,553,663",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000633,Challenge Fund  in Nigeria,04/05/2009,04/05/2009,,31/12/2013,, Unplanned; 2009; 2010; 2011; 2012; 2013,Finance,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Enhancing Financial Innovation and Access (EFInA),"3,485,172","3,485,172","3,485,172",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000634,Challenge Fund  in Nigeria,04/05/2009,04/05/2009,,31/12/2013,, Unplanned; 2009; 2010; 2011; 2012; 2013,Finance,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Enhancing Financial Innovation and Access (EFInA),"3,485,172","3,485,172","3,485,172",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000635,Challenge Fund  in Nigeria,04/05/2009,04/05/2009,,31/12/2013,, Unplanned; 2009; 2010; 2011; 2012; 2013,Finance,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Enhancing Financial Innovation and Access (EFInA),"3,485,172","3,485,172","3,485,172",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000636,Measles Initiative,10/11/2009,10/11/2009,,31/05/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Health,Immunisation,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"13,997,518",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000637,Measles Initiative,10/11/2009,10/11/2009,,31/05/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"13,997,518",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000638,SAT Africa - Simplified Regimens for Management of Possible Serious Bacterial Infections in Neonates and Young Infants for Use in Outpatient and Comm,17/11/2009,17/11/2009,,30/09/2014,, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,World Health Organization (WHO),"9,881,478","2,788,250","9,881,478",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000639,Africa Growth Initiative - Strengthening African Research and Voice to Sustain Growth (Reinvestment to OPP50386) (PAF),31/08/2010,31/08/2010,,31/08/2014,, Unplanned; 2010; 2011; 2012; 2013; 2014,Trade and Investment,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Brookings Institution,"6,270,792","240,000","5,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000640,Africa Growth Initiative - Strengthening African Research and Voice to Sustain Growth (Reinvestment to OPP50386) (PAF),31/08/2010,31/08/2010,,31/08/2014,, Unplanned; 2010; 2011; 2012; 2013; 2014,Trade and Investment,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Brookings Institution,"6,270,792","240,000","5,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000641,"Strengthening Agricultural Market Information Systems (AMIS) globally and in selected countries (Nigeria, India, Bangladesh) using innovative methods",10/08/2012,10/08/2012,,25/06/2015,, Unplanned; 2012; 2013; 2014; 2015,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Food & Agriculture Organisation (FAO),"5,637,513","1,014,752","2,221,937",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000642,"Strengthening Agricultural Market Information Systems (AMIS) globally and in selected countries (Nigeria, India, Bangladesh) using innovative methods",10/08/2012,10/08/2012,,25/06/2015,, Unplanned; 2012; 2013; 2014; 2015,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Food & Agriculture Organisation (FAO),"5,637,513","789,252","2,221,937",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000643,Capacity Support to the Ministry of Agriculture and Rural Development for the Implementation of the Agricultural Transformation Agenda in Nigeria,28/08/2012,28/08/2012,,23/11/2014,, Unplanned; 2012; 2013; 2014,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,UNDP,"4,958,439","4,958,439","2,363,212",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000644,Capacity Support to the Ministry of Agriculture and Rural Development for the Implementation of the Agricultural Transformation Agenda in Nigeria,28/08/2012,28/08/2012,,23/11/2014,, Unplanned; 2012; 2013; 2014,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,UNDP,"4,958,439","4,958,439","2,363,212",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000645,Emergency Response to Nigeria Floods,24/10/2012,24/10/2012,,23/10/2013,, Unplanned; 2012; 2013,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,UNICEF,"1,000,000","1,000,000","1,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000646,Emergency Response to Nigeria Floods,24/10/2012,24/10/2012,,23/10/2013,, Unplanned; 2012; 2013,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,.,"1,000,000","1,000,000","1,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000647,Rapid Mobilization of Alleles for Rice Cultivar Improvement in Sub-Saharan Africa,12/11/2013,12/11/2013,,31/12/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Africa Rice Center,"7,500,000","4,724,795","1,412,519",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000648,Increasing Care Seeking Behavior in Nigeria for Childhood Illnesses,25/11/2013,25/11/2013,,30/11/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"10,000,000","10,000,000","1,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000649,Increasing Care Seeking Behavior in Nigeria for Childhood Illnesses,25/11/2013,25/11/2013,,30/11/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"10,000,000","10,000,000","1,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000650,Increasing Care Seeking Behavior in Nigeria for Childhood Illnesses,25/11/2013,25/11/2013,,30/11/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"10,000,000","10,000,000","1,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000651,Increasing Care Seeking Behavior in Nigeria for Childhood Illnesses,25/11/2013,25/11/2013,,30/11/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"10,000,000","10,000,000","1,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000652,Increasing Care Seeking Behavior in Nigeria for Childhood Illnesses,25/11/2013,25/11/2013,,30/11/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"10,000,000","10,000,000","1,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000653,Increasing Care Seeking Behavior in Nigeria for Childhood Illnesses,25/11/2013,25/11/2013,,30/11/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"10,000,000","10,000,000","1,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000654,EQUIST: an optimal tool to achieve results,19/06/2013,19/06/2013,,30/06/2014,, Unplanned; 2013; 2014,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,UNICEF,"499,634","20,692","499,634",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000655,EQUIST: an optimal tool to achieve results,19/06/2013,19/06/2013,,30/06/2014,, Unplanned; 2013; 2014,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,UNICEF,"499,634","20,692","499,634",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000656,Competitive African Rice Initiative (CARI),08/10/2013,08/10/2013,,31/10/2017,, Unplanned; 2013; 2014; 2015; 2016; 2017,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,"17,200,397","7,224,167","6,516,002",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000657,Competitive African Rice Initiative (CARI),08/10/2013,08/10/2013,,31/10/2017,, Unplanned; 2013; 2014; 2015; 2016; 2017,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,"17,200,397","7,052,163","6,516,002",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000658,HT Cassava: Conventional Mutagenesis,05/11/2013,05/11/2013,,31/10/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"2,797,417",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000659,Accelerating Scale-up of Implants to Expand Access to Long-Acting and Permanent Methods of Family Planning Services,30/04/2013,30/04/2013,,31/05/2015,, Unplanned; 2013; 2014; 2015,Health,Reproductive Health,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,JHPIEGO-ACCESS,"4,482,279","1,339,472","1,815,284",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000660,Accelerating Scale-up of Implants to Expand Access to Long-Acting and Permanent Methods of Family Planning Services,30/04/2013,30/04/2013,,31/05/2015,, Unplanned; 2013; 2014; 2015,Health,Reproductive Health,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,JHPIEGO-ACCESS,"4,482,279","1,339,472","1,815,284",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000661,Measles Outbreak in Nigeria,15/03/2013,15/03/2013,,14/03/2014,, Unplanned; 2013; 2014,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,UNICEF,"1,000,000","1,000,000","1,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000662,Measles Outbreak in Nigeria,15/03/2013,15/03/2013,,14/03/2014,, Unplanned; 2013; 2014,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,UNICEF,"1,000,000","1,000,000","1,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000663,Planning Grant: Learning and Documenting Opportunities for Improved Quality and Utilization of MNCH Services in Nigeria,01/11/2013,01/11/2013,,31/05/2014,, Unplanned; 2013; 2014,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"370,000","370,000","370,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000664,Planning Grant: Learning and Documenting Opportunities for Improved Quality and Utilization of MNCH Services in Nigeria,01/11/2013,01/11/2013,,31/05/2014,, Unplanned; 2013; 2014,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"370,000","30,931","370,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000665,Planning Grant: Learning and Documenting Opportunities for Improved Quality and Utilization of MNCH Services in Nigeria,01/11/2013,01/11/2013,,31/05/2014,, Unplanned; 2013; 2014,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"370,000","142,742","370,000",,,"'Federal Republic of Nigeria', '2328926'"
